Brand,ProductName,Category,MRP,SalePrice,Rating,NumberOfReviews,URL
FUR JADEN,Crocodile Textured Duffel Bag,Handbags and Bags,Rs. 4000,Rs. 899,4.5,959,https://www.myntra.com/duffel-bag/fur+jaden/fur-jaden-black-crocodile-textured-duffel-bag/19230164/buy
FUR JADEN,Medium Casual Duffel Bag,Handbags and Bags,Rs. 3000,Rs. 1999,4.2,22,https://www.myntra.com/duffel-bag/fur+jaden/fur-jaden-medium-casual-duffel-bag/29557452/buy
Sangria,Printed Handbags,Handbags and Bags,Rs. 2199,Rs. 681,4.1,67,https://www.myntra.com/handbags/sangria/sangria-floral-printed-handbags/27210090/buy
Bagsy Malone,Set Of 5 Handbags & Wallets,Handbags and Bags,Rs. 3999,Rs. 719,4,22,https://www.myntra.com/handbags/bagsy+malone/bagsy-malone-set-of-5-textured-structured-handbags--wallets/27018490/buy
FUR JADEN,Solid Vegan Leather Duffel Bag,Handbags and Bags,Rs. 2000,Rs. 1299,4.5,176,https://www.myntra.com/duffel-bag/fur+jaden/fur-jaden-brown--white-solid-vegan-leather-duffel-bag/19230162/buy
Metro,Bucket Sling Bag with Quilted,Handbags and Bags,Rs. 1490,Rs. 700,4.6,88,https://www.myntra.com/handbags/metro/metro-bucket-sling-bag-with-quilted-handbags/20661240/buy
EVEDA,Women Printed Handbags,Handbags and Bags,Rs. 2899,Rs. 675,,,https://www.myntra.com/handbags/eveda/eveda-women-printed-handbags/33603413/buy
Gauge Machine,Unisex Textured Laptop Bag,Handbags and Bags,Rs. 3999,Rs. 2199,4.6,27,https://www.myntra.com/laptop-bag/gauge+machine/gauge-machine-16-olive-laptop-messenger-bag/24862230/buy
Bagsy Malone,Set Of 4 Leather Handbags,Handbags and Bags,Rs. 3599,Rs. 899,4.1,36,https://www.myntra.com/handbags/bagsy+malone/bagsy-malone-set-of--4-textured-vegan-leather-handbags/27018478/buy
Bagsy Malone,Set Of 5 Handbags & Wallets,Handbags and Bags,Rs. 3999,Rs. 919,3.9,18,https://www.myntra.com/handbags/bagsy+malone/bagsy-malone-set-of-5-textured-structured-handbags--wallets/27018516/buy
The Souled Store,Graphic Backpack,Handbags and Bags,Rs. 4999,Rs. 3399,4.5,13,https://www.myntra.com/backpacks/the+souled+store/the-souled-store-men-captain-america-super-soldier-backpack/33988450/buy
EVEDA,Women Textured Handbags,Handbags and Bags,Rs. 2199,Rs. 999,,,https://www.myntra.com/handbags/eveda/eveda-women-geometric-textured-handbags/33603368/buy
Bagsy Malone,Set Of 4 Handbags & Wallets,Handbags and Bags,Rs. 3599,Rs. 899,4.2,21,https://www.myntra.com/handbags/bagsy+malone/bagsy-malone-set-of-4-textured-structured-handbags--wallets/27018482/buy
The Souled Store,Graphic Padded Staps Backpack,Handbags and Bags,Rs. 3999,Rs. 3599,3.9,24,https://www.myntra.com/backpacks/the+souled+store/the-souled-store-men-batman-gotham-gear-backpack/34160475/buy
Bagsy Malone,Set Of 4 Leather Handbags,Handbags and Bags,Rs. 3599,Rs. 863,3.9,36,https://www.myntra.com/handbags/bagsy+malone/bagsy-malone-set-of--4-textured-vegan-leather-handbags/27018502/buy
Flingo,Striped Handheld Handbags,Handbags and Bags,Rs. 1299,Rs. 649,,,https://www.myntra.com/handbags/flingo/flingo-women-striped-oversized-structured-handheld-handbags/34177526/buy
Safari,Set of 3 Hard Trolley Bag,Handbags and Bags,Rs. 27565,Rs. 6999,4.3,82,https://www.myntra.com/trolley-bag/safari/safari-luma-set-of-3-printed-hard-trolley-bag/18552118/buy
Fostelo,Textured Handheld Bag Handbags,Handbags and Bags,Rs. 2799,Rs. 699,4.2,6,https://www.myntra.com/handbags/fostelo/fostelo-textured-handheld-bag-handbags/21373820/buy
